package|version|id|cwe|filename|returncode|control_path|exploit|rtime|utime|stime|timestamp
lutils-merge|0.2.6|33|CWE-1321|vulcan-dataset/CWE-471/893/src/merge.js|0|true|true|42.05|15.589|0.894944|20251029113447
assign-deep|0.4.8|36|CWE-1321|vulcan-dataset/CWE-471/1014/src/index.js|0|true|true|41.2162|16.7814|0.950369|20251029113447
assign-deep|0.4.8|35|CWE-1321|vulcan-dataset/CWE-471/1014/src/index.js|0|true|true|41.1317|16.377|0.940202|20251029113447
assign-deep|0.4.8|34|CWE-1321|vulcan-dataset/CWE-471/1014/src/index.js|0|true|true|41.2565|16.2144|0.905687|20251029113447
subtext|7.0.2|37|CWE-1321|vulcan-dataset/CWE-471/1480/src/index.js|0|false|false|36.3786|23.2454|1.28037|20251029113447
mergify|1.0.2|38|CWE-1321|vulcan-dataset/CWE-471/995/src/index.js|0|true|true|40.236|13.3811|0.81732|20251029113447
utils-extend|1.0.8|39|CWE-1321|vulcan-dataset/CWE-471/1502/src/index.js|0|true|true|43.8374|20.393|1.0794|20251029113447
set|1.0.0|40|CWE-1321|vulcan-dataset/CWE-471/GHSA-wwg2-2crq-6grr/src/main.js|0|true|false|207.143|180.942|2.31813|20251029113447
merge-deep|3.0.0|43|CWE-1321|vulcan-dataset/CWE-471/580/src/index.js|0|true|true|39.7638|13.8986|0.886202|20251029113447
merge-deep|3.0.0|42|CWE-1321|vulcan-dataset/CWE-471/580/src/index.js|0|true|true|39.5107|13.8579|0.84929|20251029113447
merge-deep|3.0.0|41|CWE-1321|vulcan-dataset/CWE-471/580/src/index.js|0|true|true|39.6062|13.891|0.832631|20251029113447
merge|1.2.0|44|CWE-1321|vulcan-dataset/CWE-471/722/src/merge.js|0|true|false|49.2155|22.1551|1.207|20251029113447
querymen|2.1.4|45|CWE-1321|vulcan-dataset/CWE-471/GHSA-p23c-p8w2-ww5v/src/index.js|0|true|true|48.6981|28.9123|1.28117|20251029113447
convict|6.2.2|46|CWE-1321|vulcan-dataset/CWE-471/GHSA-jjf5-wx3j-3fv7/src/main.js|0|false|false|58.8006|33.2123|1.40042|20251029113447
protobufjs|6.11.0|47|CWE-1321|vulcan-dataset/CWE-471/GHSA-g954-5hwp-pp24/src/util.js|0|false|false|81.8862|55.7026|1.44382|20251029113447
minimist|1.2.2|49|CWE-1321|vulcan-dataset/CWE-471/1179/src/index.js|0|false|false|35.863|23.4157|1.26298|20251029113447
minimist|1.2.2|48|CWE-1321|vulcan-dataset/CWE-471/1179/src/index.js|0|false|false|35.7465|23.1815|1.26991|20251029113447
deep-extend|0.5.0|54|CWE-1321|vulcan-dataset/CWE-471/612/src/deep-extend.js|0|true|true|28.6617|14.5052|0.8852|20251029113447
deep-extend|0.5.0|53|CWE-1321|vulcan-dataset/CWE-471/612/src/deep-extend.js|0|true|true|28.8946|14.99|0.906497|20251029113447
deep-extend|0.5.0|52|CWE-1321|vulcan-dataset/CWE-471/612/src/deep-extend.js|0|true|true|28.6557|14.7342|0.869537|20251029113447
deep-extend|0.5.0|51|CWE-1321|vulcan-dataset/CWE-471/612/src/deep-extend.js|0|true|true|28.6737|14.4785|0.881322|20251029113447
deep-extend|0.5.0|50|CWE-1321|vulcan-dataset/CWE-471/612/src/deep-extend.js|0|true|true|28.6876|15.165|0.858202|20251029113447
ini-parser|0.0.2|55|CWE-1321|vulcan-dataset/CWE-471/1508/src/index.js|0|true|true|34.1841|16.1223|0.935031|20251029113447
sds|3.2.0|56|CWE-1321|vulcan-dataset/CWE-471/1506/src/set.js|2|true|true|68.9398|51.2673|1.2652|20251029113447
json8-merge-patch|1.0.2|57|CWE-1321|vulcan-dataset/CWE-471/GHSA-8v9x-9xqg-r8mr/src/apply.js|0|true|true|29.7042|12.7406|0.775078|20251029113447
deep-setter|1.0.1|58|CWE-1321|vulcan-dataset/CWE-471/1333/src/index.js|0|true|true|68.3897|54.0871|1.32147|20251029113447
safetydance|1.1.1|59|CWE-1321|vulcan-dataset/CWE-471/GHSA-6m85-wvcr-pgw3/src/index.js|0|true|false|61.1918|39.768|1.95999|20251029113447
cached-path-relative|1.0.1|60|CWE-1321|vulcan-dataset/CWE-471/739/src/index.js|0|false|false|44.605|28.2452|1.04435|20251029113447
hoek|5.0.2|63|CWE-1321|vulcan-dataset/CWE-471/566/src/index.js|0|true|true|75.9384|46.9278|2.08133|20251029113447
hoek|5.0.2|62|CWE-1321|vulcan-dataset/CWE-471/566/src/index.js|0|true|true|76.2629|46.5028|2.1017|20251029113447
hoek|5.0.2|61|CWE-1321|vulcan-dataset/CWE-471/566/src/index.js|0|true|true|76.2571|46.958|2.10428|20251029113447
